a,b
0.097349858,-0.094969966
0.005962405,-0.068540576
0.022829752,-0.09638881
0.028942949,-0.039000738
0.000323512,-0.02783404
0.001734907,-0.042938446
0.028896092,-0.038861031
0.000323501,-0.027832144
0.001734889,-0.042937543
0.060478129,-0.083716354
0.002149257,-0.05205239
0.014520352,-0.107451633
0.060751072,-0.083125039
0.002149166,-0.052041493
0.014520313,-0.107444452
0.013514832,-0.023210559
0.000161808,-4.999097164
0.001522894,-4.87114941
0.01345299,-0.021862923
0.000161902,-4.999103997
0.001523124,-4.873724381
0.084774273,-0.086794015
0.00397814,-0.052084663
0.020989705,-0.092130639
0.085310504,-0.087258905
0.003978144,-0.052083987
0.020989744,-0.092130337
0.016863878,-0.022342785
0.000270582,-4.999132264
0.002158022,-4.822245652
0.01711039,-0.022562058
0.000270638,-4.999072627
0.002158134,-4.821617336
0.079249345,-0.084339215
0.003863179,-0.069242639
0.016949331,-0.09755624
0.07955393,-0.083926342
0.00386358,-0.069241471
0.016950169,-0.097553646
0.029075932,-0.041047329
0.000372149,-4.983416313
0.001426185,-0.047942483
0.0290012,-0.040202298
0.000372177,-4.983372485
0.001426169,-0.047935602
0.103987277,-0.091612237
0.006233781,-0.066397846
0.024492602,-0.092469125
0.104030736,-0.091597174
0.006233824,-0.066397884
0.024492699,-0.092469085
0.031700302,-0.038238673
0.000370685,-0.030385512
0.001876808,-0.041303957
0.031659238,-0.038089343
0.000370688,-0.03038445
0.001876791,-0.041303002
0.030303736,-0.041952225
0.001257547,-4.979654735
0.007413429,-0.058674002
0.029999776,-0.040697253
0.001257676,-4.9817521
0.00741296,-0.05866323
0.011552274,-0.019655888
0.00017865,-4.998694159
0.001503601,-4.91209054
0.011306271,-0.018235526
0.000178734,-4.998891598
0.001503747,-4.915030717
0.038572311,-0.040948208
0.00175193,-4.998723547
0.009738397,-0.045367711
0.038547855,-0.040831709
0.001751701,-5.001335737
0.009738487,-0.04536782
0.013244287,-0.017251426
0.000250054,-4.998949142
0.000868653,-0.022792928
0.013231084,-0.01710146
0.000250081,-4.999123969
0.000868646,-0.022791619
0.069092528,-0.074848104
0.003201249,-0.05926542
0.014822862,-0.090351285
0.069656037,-0.074420104
0.003201848,-0.059267204
0.01482366,-0.090348144
0.028996821,-0.040355866
0.000230788,-0.028813485
0.001445487,-0.046754915
0.028884768,-0.0391098
0.000230817,-0.028803967
0.001445193,-0.04673408
0.088280999,-0.077686748
0.005336771,-0.055197659
0.020969566,-0.080454719
0.088298588,-0.077639877
0.005336766,-0.055197151
0.0209696,-0.080454573
0.033730199,-0.03940079
0.000555166,-4.994044528
0.001968861,-0.041668984
0.033642463,-0.039041083
0.000555173,-4.994013091
0.001968846,-0.041667443
0.058916302,-0.073225372
0.003678323,-0.070639575
0.012514143,-0.084305579
0.059634327,-0.072914732
0.003679483,-0.070642859
0.01251599,-0.08430228
0.025540211,-0.038178821
0.000396973,-4.956588684
0.001291964,-0.047548678
0.025438482,-0.037425186
0.000397033,-4.956525488
0.001291478,-0.047519275
0.066165011,-0.066252694
0.004749692,-0.054224949
0.01607096,-0.069138793
0.066254995,-0.06623712
0.004749741,-0.054224331
0.016071149,-0.069138702
0.026300882,-0.034233455
0.000546726,-4.940781186
0.001602269,-0.038734241
0.026254205,-0.034065645
0.00054673,-4.940654259
0.001602268,-0.038733426
0.073751289,-0.079209867
0.002873374,-0.05620343
0.015775865,-0.09606408
0.07381184,-0.078898788
0.002873536,-0.056204374
0.01577591,-0.096062074
0.025616103,-0.037305761
0.000273559,-4.97540944
0.001282564,-0.043293379
