Lon,Lat
149.96,-19.734
149.78,-19.736
149.68,-19.743
149.73,-19.764
149.65,-19.762
149.66,-19.766
149.66,-19.784
149.63,-19.79
149.76,-19.786
149.7,-19.795
149.71,-19.801
149.62,-19.82
149.77,-19.827
149.89,-19.847
149.6,-19.86
149.58,-19.877
149.73,-19.878
149.62,-19.966
149.73,-20.013
150.01,-19.712
150.08,-19.759
150.12,-19.78
150.15,-19.805
150.09,-19.814
150.08,-19.826
150.18,-19.83
150.22,-19.874
150.24,-19.894
150.16,-19.905
150.2,-19.923
150.27,-19.914
150.31,-19.927
150.33,-19.938
150.33,-19.946
150.35,-19.958
150.21,-19.957
150.34,-19.977
150.24,-19.994
148.27,-20.015
148.27,-20.024
148.47,-20.056
148.28,-20.04
148.26,-20.061
148.48,-20.074
148.62,-20.021
148.63,-20.028
148.89,-20.067
148.54,-20.069
148.53,-20.09
148.89,-20.084
148.88,-20.091
148.61,-20.103
148.57,-20.108
148.65,-20.11
148.71,-20.109
148.56,-20.123
148.61,-20.132
148.92,-20.12
148.58,-20.149
148.61,-20.154
148.81,-20.22
148.81,-20.263
148.73,-20.251
148.92,-20.271
148.98,-20.279
148.84,-20.259
148.77,-20.233
NaN,NaN
148.79,-20.3
148.8,-20.31
148.96,-20.353
148.93,-20.342
148.86,-20.372
148.83,-20.378
NaN,NaN
149.03,-20.173
149.01,-20.17
149.08,-20.262
149.1,-20.271
149.01,-20.421
149.07,-20.157
149.04,-20.449
149.01,-20.449
149.1,-20.463
149.04,-20.47
149.03,-20.421
149.06,-20.498
149.83,-20.016
149.69,-20.033
149.81,-20.065
149.95,-20.037
149.93,-20.068
149.92,-20.102
149.97,-20.098
149.94,-20.134
150.32,-20.009
150.24,-20.029
150.01,-20.025
150.01,-20.078
150.41,-20.089
150.32,-20.105
150.39,-20.086
150.43,-20.122
150.38,-20.116
150.2,-20.106
150.01,-20.127
150.09,-20.208
150.38,-20.159
150.44,-20.143
150.47,-20.193
150.11,-20.298
150.13,-20.345
150.07,-20.351
150.09,-20.35
150.2,-20.341
150.07,-20.371
150.13,-20.402
150.2,-20.409
150.24,-20.403
150.24,-20.448
150.15,-20.483
150.21,-20.477
150.29,-20.47
150.55,-20.235
150.51,-20.261
150.56,-20.284
150.61,-20.303
150.57,-20.332
150.61,-20.355
150.71,-20.352
150.75,-20.38
150.68,-20.376
150.59,-20.401
150.61,-20.398
150.7,-20.419
150.72,-20.449
150.89,-20.438
150.64,-20.504
150.72,-20.488
150.83,-20.498
148.8,-20.507
148.8,-20.515
148.93,-20.525
148.87,-20.587
148.72,-20.628
148.73,-20.649
148.76,-20.673
148.76,-20.687
148.74,-20.697
148.78,-20.73
148.79,-20.752
148.8,-20.768
148.85,-20.791
148.88,-20.796
148.87,-20.806
148.84,-20.825
148.88,-20.823
148.9,-20.822
148.89,-20.828
148.93,-20.843
148.94,-20.862
148.92,-20.847
148.96,-20.871
148.99,-20.891
149.09,-20.51
149.08,-20.525
149.09,-20.537
149.11,-20.54
150.8,-20.627
149.15,-20.68
149.11,-20.588
149.19,-20.602
149.15,-20.657
149.07,-20.665
149.09,-20.675
149.19,-20.687
149.2,-20.699
149.14,-20.71
149.15,-20.736
149.47,-20.742
149.43,-20.768
149.4,-20.781
149.27,-20.813
149.03,-20.899
149.06,-20.918
149.4,-20.92
149.43,-20.915
149.15,-20.988
149.75,-20.542
149.95,-20.542
149.93,-20.562
150.05,-20.564
150.12,-20.575
150.24,-20.518
150.38,-20.536
150.38,-20.6
150.46,-20.655
150.46,-20.636
150.26,-20.673
150.18,-20.704
150.47,-20.718
150.49,-20.786
150.45,-20.808
150.37,-20.827
150.38,-20.861
150.03,-20.909
150.08,-20.962
150.86,-20.515
150.8,-20.524
150.76,-20.53
150.56,-20.564
150.78,-20.571
150.82,-20.566
150.84,-20.57
150.74,-20.577
150.86,-20.586
150.77,-20.598
150.73,-20.624
150.81,-20.626
150.85,-20.621
150.91,-20.619
150.73,-20.645
150.75,-20.637
150.88,-20.667
150.83,-20.699
150.98,-20.688
150.92,-20.713
150.76,-20.709
