ID,a,b,params
522,0.017,-0.072,_d88_2121
523,0.0207,-0.0273,_d88_2121_P5
524,3.36E-04,-4.9657,_d88_2121_P7
525,0.0013,-0.031,_d88_2122
526,0.0207,-0.027,_d88_2122_P5
527,3.36E-04,-4.9657,_d88_2122_P7
528,0.0013,-0.031,_d89_1111
529,0.0721,-0.0789,_d89_1111_P5
530,0.0035,-0.0612,_d89_1111_P7
531,0.0159,-0.0935,_d89_1112
532,0.0721,-0.078,_d89_1112_P5
533,0.0035,-0.0611,_d89_1112_P7
534,0.0159,-0.0935,_d89_1121
535,0.0225,-0.0323,_d89_1121_P5
536,1.76E-04,-0.0242,_d89_1121_P7
537,0.0013,-0.0439,_d89_1122
538,0.0222,-0.0308,_d89_1122_P5
539,1.76E-04,-0.0242,_d89_1122_P7
540,0.0013,-0.0439,_d89_2111
541,0.0894,-0.0785,_d89_2111_P5
542,0.0054,-0.054,_d89_2111_P7
543,0.0212,-0.081,_d89_2112
544,0.0895,-0.0784,_d89_2112_P5
545,0.0054,-0.054,_d89_2112_P7
546,0.0212,-0.081,_d89_2121
547,0.03,-0.0358,_d89_2121_P5
548,3.19E-04,-0.0247,_d89_2121_P7
549,0.0018,-0.0397,_d89_2122
550,0.0299,-0.0355,_d89_2122_P5
551,3.19E-04,-0.0247,_d89_2122_P7
552,0.0018,-0.0397,_d90_1111
553,0.0695,-0.0811,_d90_1111_P5
554,0.0033,-0.0615,_d90_1111_P7
555,0.0148,-0.0949,_d90_1112
556,0.0695,-0.0799,_d90_1112_P5
557,0.0033,-0.0615,_d90_1112_P7
558,0.0148,-0.0949,_d90_1121
559,0.0253,-0.0397,_d90_1121_P5
560,2.25E-04,-0.0334,_d90_1121_P7
561,0.0013,-0.0502,_d90_1122
562,0.0251,-0.0379,_d90_1122_P5
563,2.25E-04,-0.0334,_d90_1122_P7
564,0.0013,-0.0502,_d90_2111
565,0.0861,-0.0813,_d90_2111_P5
566,0.0053,-0.0569,_d90_2111_P7
567,0.0204,-0.0837,_d90_2112
568,0.0861,-0.0812,_d90_2112_P5
569,0.0053,-0.0569,_d90_2112_P7
570,0.0204,-0.0837,_d90_2121
571,0.0285,-0.0379,_d90_2121_P5
572,3.29E-04,-0.0277,_d90_2121_P7
573,0.0017,-0.042,_d90_2122
574,0.0284,-0.0376,_d90_2122_P5
575,3.29E-04,-0.0277,_d90_2122_P7
576,0.0017,-0.042,_d91_1111
577,0.0643,-0.0786,_d91_1111_P5
578,0.0029,-0.0549,_d91_1111_P7
579,0.0139,-0.0917,_d91_1112
580,0.0645,-0.078,_d91_1112_P5
581,0.0029,-0.0549,_d91_1112_P7
582,0.0139,-0.0917,_d91_1121
583,0.0206,-0.0347,_d91_1121_P5
